,graph_name,code,internal_name,name,directory,data_source,availability,consistency_check,category,node_meaning,edge_meaning,network_format,edge_type,temporal_data,reciprocal,directed_cycles,loops,snapshot,dataset_timestamp,network_join,orientation,multiplicity,connectedness,txt_file_size,compressed_txt_file_size,zero_weights,skew_symmetry,complete,k_core,tournament,paths
688,wikipedia_link_fo,Wfo,wikipedia_link_fo,Wikipedia links (fo),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Hyperlink network,Article,Wikilink,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
689,wikipedia_link_hsb,Whsb,wikipedia_link_hsb,Wikipedia links (hsb),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Hyperlink network,Article,Wikilink,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
690,edit-mznwiki,mzn,edit-mznwiki,Wikipedia edits (mzn),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
691,edit-hewikivoyage,vhe,edit-hewikivoyage,Wikivoyage edits (he),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
692,edit-tlwiktionary,mtl,edit-tlwiktionary,Wiktionary edits (tl),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
693,wikispeedia,WS,wikispeedia,Wikispeedia,,http://snap.stanford.edu/data/wikispeedia.html,Dataset is available for download,Dataset passed all tests,Hyperlink network,Article,Click,"Unipartite, directed","Unweighted, multiple edges",,Contains reciprocal edges,Contains directed cycles,Does not contain loops,,,,,,,,,,,,,,The edges form paths
694,wikipedia_link_os,Wos,wikipedia_link_os,Wikipedia links (os),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Hyperlink network,Article,Wikilink,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
695,wiki_talk_sk,Tsk,wiki_talk_sk,Wikipedia talk (sk),,https://zenodo.org/record/49561,Dataset is available for download,Dataset passed all tests,Communication network,User,Message,"Unipartite, directed","Unweighted, multiple edges",Edges are annotated with timestamps,Contains reciprocal edges,Contains directed cycles,Contains loops,,2017-10-27,,,,,,,,,,,,
696,edit-jawikinews,nja,edit-jawikinews,Wikinews edits (ja),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
697,edit-afwiktionary,maf,edit-afwiktionary,Wiktionary edits (af),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
698,edit-itwikiversity,yit,edit-itwikiversity,Wikiversity edits (it),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
699,wikipedia_link_hif,Whif,wikipedia_link_hif,Wikipedia links (hif),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Hyperlink network,Article,Wikilink,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Does not contain loops,,,,,,,,,,,,,,
700,edit-miwiki,mi,edit-miwiki,Wikipedia edits (mi),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
701,wikipedia_link_diq,Wdiq,wikipedia_link_diq,Wikipedia links (diq),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Hyperlink network,Article,Wikilink,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
702,edit-slwikisource,qsl,edit-slwikisource,Wikiquote edits (sl),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
703,wikipedia_link_vec,Wvec,wikipedia_link_vec,Wikipedia links (vec),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Hyperlink network,Article,Wikilink,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
704,edit-cswikisource,qcs,edit-cswikisource,Wikiquote edits (cs),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
705,dbpedia-occupation,OC,dbpedia-occupation,Occupations,,http://wiki.dbpedia.org/Downloads,Dataset is available for download,Dataset passed all tests,Affiliation network,"Person, occupation",Association,"Bipartite, undirected","Unweighted, no multiple edges",,,,,,2001 ⋯ 2017,,,,,,,,,,,,
706,edit-nvwiki,nv,edit-nvwiki,Wikipedia edits (nv),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
707,edit-kowikisource,qko,edit-kowikisource,Wikiquote edits (ko),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
708,edit-lijwiki,lij,edit-lijwiki,Wikipedia edits (lij),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
709,edit-scnwiktionary,mscn,edit-scnwiktionary,Wiktionary edits (scn),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
710,wikipedia_link_cdo,Wcdo,wikipedia_link_cdo,Wikipedia links (cdo),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Hyperlink network,Article,Wikilink,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
711,edit-csbwiki,csb,edit-csbwiki,Wikipedia edits (csb),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
712,edit-wuuwiki,wuu,edit-wuuwiki,Wikipedia edits (wuu),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
713,edit-maiwiki,mai,edit-maiwiki,Wikipedia edits (mai),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
714,edit-aswiki,as,edit-aswiki,Wikipedia edits (as),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
715,edit-furwiki,fur,edit-furwiki,Wikipedia edits (fur),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
716,edit-mlwikisource,qml,edit-mlwikisource,Wikiquote edits (ml),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
717,edit-mhrwiki,mhr,edit-mhrwiki,Wikipedia edits (mhr),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
718,edit-zh_min_nanwiktionary,mzh-min-nan,edit-zh_min_nanwiktionary,Wiktionary edits (zh-min-nan),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
719,wikipedia_link_glk,Wglk,wikipedia_link_glk,Wikipedia links (glk),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Hyperlink network,Article,Wikilink,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
720,edit-bclwiki,bcl,edit-bclwiki,Wikipedia edits (bcl),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
721,wikipedia_link_kn,Wkn,wikipedia_link_kn,Wikipedia links (kn),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Hyperlink network,Article,Wikilink,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
722,edit-cywiktionary,mcy,edit-cywiktionary,Wiktionary edits (cy),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
723,edit-fiu_vrowiki,fiu-vro,edit-fiu_vrowiki,Wikipedia edits (fiu-vro),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
724,edit-hywikisource,qhy,edit-hywikisource,Wikiquote edits (hy),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
725,edit-orwiktionary,mor,edit-orwiktionary,Wiktionary edits (or),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
726,edit-fywiki,fy,edit-fywiki,Wikipedia edits (fy),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
727,edit-kwwiki,kw,edit-kwwiki,Wikipedia edits (kw),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
728,slashdot-threads,SD,slashdot-threads,Slashdot,,,Dataset is available for download,Dataset passed all tests,Communication network,User,Reply,"Unipartite, directed","Unweighted, multiple edges",Edges are annotated with timestamps,Contains reciprocal edges,Contains directed cycles,Contains loops,Is a snapshot and likely to not contain all data,,,,,,,,,,,,,
729,edit-kshwiki,ksh,edit-kshwiki,Wikipedia edits (ksh),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
730,wikipedia_link_sah,Wsah,wikipedia_link_sah,Wikipedia links (sah),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Hyperlink network,Article,Wikilink,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
731,wikipedia_link_map_bms,Wmap-bms,wikipedia_link_map_bms,Wikipedia links (map-bms),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Hyperlink network,Article,Wikilink,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
732,youtube-groupmemberships,YG,youtube-groupmemberships,YouTube,,http://socialnetworks.mpi-sws.org/data-imc2007.html,Dataset is available for download,Dataset passed all tests,Affiliation network,"User, group",Membership,"Bipartite, undirected","Unweighted, no multiple edges",,,,,,,,,,,,,,,,,,
733,edit-pswiki,ps,edit-pswiki,Wikipedia edits (ps),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
734,wikipedia_link_bcl,Wbcl,wikipedia_link_bcl,Wikipedia links (bcl),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Hyperlink network,Article,Wikilink,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
735,wikipedia_link_gd,Wgd,wikipedia_link_gd,Wikipedia links (gd),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Hyperlink network,Article,Wikilink,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
736,edit-gomwiki,gom,edit-gomwiki,Wikipedia edits (gom),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
737,edit-azbwiki,azb,edit-azbwiki,Wikipedia edits (azb),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
738,dbpedia-starring,ST,dbpedia-starring,Actors (DBpedia),,http://wiki.dbpedia.org/Downloads,Dataset is available for download,Dataset passed all tests,Feature network,"Movie, actor",Starring,"Bipartite, undirected","Unweighted, no multiple edges",,,,,,2001 ⋯ 2017,,,,,,,,,,,,
739,edit-frpwiki,frp,edit-frpwiki,Wikipedia edits (frp),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
740,edit-angwiki,ang,edit-angwiki,Wikipedia edits (ang),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
741,edit-plwikibooks,bpl,edit-plwikibooks,Wikibooks edits (pl),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
742,dbpedia-location,LO,dbpedia-location,DBpedia locations,,http://wiki.dbpedia.org/Downloads,Dataset is available for download,Dataset passed all tests,Feature network,"Entity, place",Location,"Bipartite, undirected","Unweighted, no multiple edges",,,,,,2001 ⋯ 2017,,,,,,,,,,,,
743,edit-kmwiki,km,edit-kmwiki,Wikipedia edits (km),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
744,edit-astwiktionary,mast,edit-astwiktionary,Wiktionary edits (ast),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
745,edit-fjwiktionary,mfj,edit-fjwiktionary,Wiktionary edits (fj),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
746,edit-ladwiki,lad,edit-ladwiki,Wikipedia edits (lad),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
747,edit-cowiki,co,edit-cowiki,Wikipedia edits (co),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
748,cit-HepTh,THc,cit-HepTh,arXiv hep-th,,http://snap.stanford.edu/data/cit-HepTh.html,Dataset is available for download,Dataset passed all tests,Citation network,Publication,Citation,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
749,edit-tewikisource,qte,edit-tewikisource,Wikiquote edits (te),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
750,wikipedia_link_bh,Wbh,wikipedia_link_bh,Wikipedia links (bh),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Hyperlink network,Article,Wikilink,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
751,eat,EA,eat,Edinburgh Associative Thesaurus,,http://vlado.fmf.uni-lj.si/pub/networks/data/dic/eat/Eat.htm,Dataset is available for download,Dataset passed all tests,Lexical network,Word,Association,"Unipartite, directed","Unweighted, multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
752,topology,TO,topology,Internet topology,,http://irl.cs.ucla.edu/topology/,Dataset is available for download,Dataset passed all tests,Computer network,Autonomous system,Connection,"Unipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,Does not contain loops,,,,"Is not directed, but the underlying data is",,,,,,,,,,
753,wikipedia_link_li,Wli,wikipedia_link_li,Wikipedia links (li),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Hyperlink network,Article,Wikilink,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
754,edit-lawiktionary,mla,edit-lawiktionary,Wiktionary edits (la),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
755,edit-wawiktionary,mwa,edit-wawiktionary,Wiktionary edits (wa),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
756,edit-bugwiki,bug,edit-bugwiki,Wikipedia edits (bug),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
757,edit-tkwiki,tk,edit-tkwiki,Wikipedia edits (tk),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
758,edit-szlwiki,szl,edit-szlwiki,Wikipedia edits (szl),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
759,bag-kos,DA,bag-kos,Daily Kos,,http://archive.ics.uci.edu/ml/datasets/Bag+of+Words,Dataset is available for download,Dataset passed all tests,Text network,"Document, word",Occurrence,"Bipartite, undirected","Unweighted, multiple edges",,,,,,,,,,,,,,,,,,
760,edit-map_bmswiki,map-bms,edit-map_bmswiki,Wikipedia edits (map-bms),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
761,wikipedia_link_xmf,Wxmf,wikipedia_link_xmf,Wikipedia links (xmf),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Hyperlink network,Article,Wikilink,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
762,edit-mtwiki,mt,edit-mtwiki,Wikipedia edits (mt),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
763,douban,DB,douban,Douban,,http://socialcomputing.asu.edu/datasets/Douban,Dataset is available for download,Dataset passed all tests,Online social network,User,Friendship,"Unipartite, undirected","Unweighted, no multiple edges",,,,Does not contain loops,,,,,,,,,,,,,,
764,edit-ruwikivoyage,vru,edit-ruwikivoyage,Wikivoyage edits (ru),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
765,edit-frwikiquote,qfr,edit-frwikiquote,Wikiquote edits (fr),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
766,wiki_talk_el,Tel,wiki_talk_el,Wikipedia talk (el),,https://zenodo.org/record/49561,Dataset is available for download,Dataset passed all tests,Communication network,User,Message,"Unipartite, directed","Unweighted, multiple edges",Edges are annotated with timestamps,Contains reciprocal edges,Contains directed cycles,Contains loops,,2017-10-27,,,,,,,,,,,,
767,wikipedia_link_hak,Whak,wikipedia_link_hak,Wikipedia links (hak),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Hyperlink network,Article,Wikilink,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
768,edit-nrmwiki,nrm,edit-nrmwiki,Wikipedia edits (nrm),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
769,wang-tripadvisor,TA,wang-tripadvisor,TripAdvisor,,http://times.cs.uiuc.edu/~wang296/Data/,Dataset is available for download,Dataset passed all tests,Rating network,"User, hotel",Rating,"Bipartite, undirected","Ratings, multiple edges",Edges are annotated with timestamps,,,,Is a snapshot and likely to not contain all data,2001-03-27 ⋯ 2009-01-11,,,,,,,,,,,,
770,edit-vowiktionary,mvo,edit-vowiktionary,Wiktionary edits (vo),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
771,edit-plwikinews,npl,edit-plwikinews,Wikinews edits (pl),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
772,wikipedia_link_ht,Wht,wikipedia_link_ht,Wikipedia links (ht),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Hyperlink network,Article,Wikilink,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
773,edit-eswikiquote,qes,edit-eswikiquote,Wikiquote edits (es),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
774,edit-hifwiki,hif,edit-hifwiki,Wikipedia edits (hif),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
775,wikipedia_link_nso,Wnso,wikipedia_link_nso,Wikipedia links (nso),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Hyperlink network,Article,Wikilink,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
776,edit-ruwikiquote,qru,edit-ruwikiquote,Wikiquote edits (ru),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
777,cit-HepPh,PHc,cit-HepPh,arXiv hep-ph,,http://snap.stanford.edu/data/cit-HepPh.html,Dataset is available for download,Dataset passed all tests,Citation network,Publication,Citation,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,,,,,,,,,,,,,,
778,edit-ukwiktionary,muk,edit-ukwiktionary,Wiktionary edits (uk),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
779,email-EuAll,EU,email-EuAll,EU institution,,http://snap.stanford.edu/data/email-EuAll.html,Dataset is available for download,Dataset passed all tests,Communication network,User,Email,"Unipartite, directed","Unweighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Contains loops,Is a snapshot and likely to not contain all data,2003-01-01 ⋯ 2005-01-01,,,"Does not have multiple edges, but the underlying data has",,,,,,,,,
