,graph_name,directed,size,volume,n,m,unique_edge_count,loop_count,wedge_count,claw_count,cross_count,triangle_count,square_count,tour_count_4,maximum_degree,maximum_outdegree,maximum_indegree,average_degree,fill,average_edge_multiplicity,size_of_lcc,size_of_lscc,relative_size_of_lscc,diameter,percentile_effective_diameter_50,percentile_effective_diameter_90,median_distance,mean_distance,gini_coefficient,balanced_inequality_ratio,outdegree_balanced_inequality_ratio,indegree_balanced_inequality_ratio,relative_edge_distribution_entropy,power_law_exponent,tail_power_law_exponent,tail_power_law_exponent_with_p,p_value,degree_assortativity,degree_assortativity_p_value,clustering_coefficient,directed_clustering_coefficient,spectral_norm,operator_2_norm,cyclic_eigenvalue,reciprocity,non_bipartivity,normalized_non_bipartivity,algebraic_non_bipartivity,spectral_bipartite_frustration,relative_controllability,controllability,in_outdegree_correlation,outdegree_tail_power_law_exponent_with_p,indegree_p_value,indegree_tail_power_law_exponent_with_p,outdegree_p_value,algebraic_connectivity,spectral_separation,triadic_conflict,spectral_signed_frustration,algebraic_conflict,negativity,left_balanced_inequality_ratio,average_left_degree,right_size,left_size,maximum_right_degree,maximum_left_degree,right_balanced_inequality_ratio,right_tail_power_law_exponent_with_p,left_p_value,right_p_value,left_tail_power_law_exponent_with_p,average_right_degree
723,edit-fiu_vrowiki,0,10914,157786,,,62498,,67745208,85748239329,112043500312777,,214595324,1987912104,19288,,,28.9144,0.00646135,2.52466,10243,,,11,2.04325,3.90888,3,2.9892,0.845649,0.162036,,,0.742331,2.00854,1.681,1.681,0.0,-0.366302,0.0,,,694.438,,,,,,,,0.833966,9011,,,,,,0.0180482,1.27453,,,,,0.0411126,162.164,9941,973,277,19288,0.207705,8.341,0.0,0.156,1.711,15.8722
724,edit-hywikisource,0,57699,149545,,,100608,,269188289,986274319567,3390394819184708,,22306172,1255434392,28252,,,5.18363,0.00163787,1.48641,57005,,,12,3.50968,5.32577,4,4.01874,0.668896,0.255204,,,0.737796,3.07629,1.671,1.671,0.071,-0.121983,0.0,,,383.608,,,,,,,,0.962789,55215,,,,,,0.0253341,1.54616,,,,,0.0917048,137.829,56614,1085,444,28252,0.372477,6.981,0.005,0.0,1.611,2.64148
725,edit-orwiktionary,0,109998,150883,,,112604,,5851720898,210962776983847,5705007624278489088,,379978,23410148936,143106,,,2.74338,0.00525902,1.33994,109731,,,11,1.52243,1.94039,2,2.11151,0.61937,0.26561,,,0.571218,63.7371,5.701,5.701,0.0,-0.610846,0.0,,,625.407,,,,,,,,0.996527,109611,,,,,,0.020666,1.21553,,,,,0.01869,773.759,109803,195,443,143106,0.418424,5.871,0.73,0.0,1.611,1.37412
726,edit-fywiki,0,4551,161936,,,55821,,25945514,10483037798,3847537848418,,182347655,1562731962,12382,,,71.165,0.0152771,2.90099,4502,,,9,2.30359,3.73165,3,2.90785,0.78882,0.20627,,,0.807306,1.55663,1.431,1.431,0.0,-0.18138,0.0,,,821.519,,,,,,,,0.651019,2940,,,,,,0.131173,1.3433,,,,,0.0572387,155.558,3510,1041,1983,12382,0.261591,7.441,0.0,0.043,1.531,46.1356
727,edit-kwwiki,0,8623,160255,,,64300,,34460901,17588976982,8137675366836,,182917779,1601375244,12014,,,37.1692,0.00745461,2.4923,7882,,,12,3.38642,5.11033,4,3.80406,0.850346,0.157873,,,0.779745,1.81629,1.581,1.581,0.0,-0.0876594,7.11979e-110,,,758.662,,,,,,,,0.746276,6312,,,,,,0.0277635,2.9305,,,,,0.0610714,138.749,7468,1155,320,12014,0.193797,8.951,0.0,0.033,1.621,21.4589
728,slashdot-threads,1,51083,140778,,,131175,989,9392516,4547184694,3037926984306,18937,549661,42200498,3357,342,3357,5.51174,5.026880000000001e-05,1.07321,51083,16377,0.320596,17,4.07323,5.28007,5,4.58905,0.712486,0.208655,0.263599,0.219786,0.881606,2.51886,1.911,1.911,0.0,-0.0346753,5.857490000000001e-63,0.00604854,0.00986928,91.5029,71.9187,40.4758,0.216497,0.24755,0.0143531,0.0262513,0.00142807,0.662686,33852,0.716637,2.371,0.0,2.061,0.0,0.026044,1.22925,,,,,,,,,,,,,,,,
729,edit-kshwiki,0,11673,161147,,,60910,,54856687,61154924562,70303801448860,,146947923,1395163204,20833,,,27.6102,0.00420916,2.64566,11013,,,11,3.00107,3.97905,4,3.24814,0.846312,0.151998,,,0.753025,2.00104,1.681,1.681,0.0,-0.329427,0.0,,,1292.59,,,,,,,,0.781525,9061,,,,,,0.0448118,1.42624,,,,,0.0417693,114.289,10263,1410,1532,20833,0.202864,8.911,0.0,0.047,1.741,15.7017
730,wikipedia_link_sah,1,15531,352209,,,,201,50102432,34577172448,6279632905697,12481439,3101109068,25009738572,1469,462,1460,45.3556,0.00146016,,15352,9150,0.589144,13,3.24556,4.44588,4,3.73986,0.822719,0.159341,0.171898,0.146995,0.831219,1.49299,1.901,1.901,0.0,0.370843,0.0,0.747355,0.927579,739.916,373.647,366.083,0.703892,0.914085,0.0212067,0.0427527,0.000359432,0.346146,5376,0.681418,1.681,0.0,1.591,0.0,0.0427632,1.53982,,,,,,,,,,,,,,,,
731,wikipedia_link_map_bms,1,14162,345041,,,,20,409875248,1143426945994,2651285844657954,4436042,1916323811,16970631724,10041,1912,9889,48.7277,0.00172037,,14111,6593,0.465542,10,1.9431,3.72452,2,2.79644,0.657796,0.251866,0.318901,0.201741,0.872546,1.35489,2.601,2.601,0.0,-0.212925,0.0,0.0324687,0.777033,426.59,283.381,212.031,0.434203,0.3797,0.0394319,0.0768483,0.000501884,0.531069,7521,0.508119,3.151,0.0,2.061,0.0,0.0843545,1.39663,,,,,,,,,,,,,,,,
732,youtube-groupmemberships,0,124325,293360,,,,,70180198,92191098295,150344737942342,,12540261,381648116,7591,,,4.71924,0.000103466,,113496,,,17,4.60249,6.39019,5,5.17435,0.693488,0.229794,,,0.878122,2.41168,2.311,2.311,0.025,-0.0671645,2.12207e-290,,,90.3775,,,,,,,,0.588787,73201,,,,,,0.00922119,1.23541,,,,,0.280584,3.11297,30087,94238,7591,1035,0.188134,2.281,0.753,0.277,2.801,9.75039
733,edit-pswiki,0,26094,161969,,,72557,,95151212,162148792147,261800046392674,,70164462,942124454,23272,,,12.4143,0.00197545,2.2323,24601,,,12,3.37067,4.51824,4,3.70156,0.845308,0.15001,,,0.738772,2.63834,2.121,2.121,0.0,-0.361223,0.0,,,1024.68,,,,,,,,0.890705,22672,,,,,,0.0153869,1.46513,,,,,0.0574122,108.486,24601,1493,918,23272,0.216424,2.191,0.0,0.0,1.691,6.58384
734,wikipedia_link_bcl,1,8130,349496,,,,5,48963347,35991094267,8032968216940,12048575,2872720044,23178012354,2332,1580,2291,85.9769,0.00528763,,8064,5520,0.678967,11,3.10896,4.28487,4,3.55896,0.740261,0.209427,0.214672,0.227204,0.87735,1.37612,2.051,,,0.0606732,1.34e-321,0.73822,0.976869,756.53,379.5,377.032,0.859446,0.921608,0.0589125,0.0978191,0.000494812,0.278229,2262,0.833491,,,,,0.0978139,2.4536,,,,,,,,,,,,,,,,
735,wikipedia_link_gd,1,22978,340005,,,,1,55618385,29747392013,16501983838129,2775845,314601614,2739792104,3242,549,3239,29.594,0.000643963,,22924,15556,0.676995,11,3.08855,4.44205,4,3.63079,0.73402,0.211263,0.232508,0.200762,0.88627,1.51872,2.681,2.681,0.0,-0.112119,0.0,0.149726,0.637456,349.548,178.488,171.097,0.512807,0.65763,0.0557118,0.108045,0.00122471,0.371877,8545,0.756233,2.161,0.0,2.511,0.0,0.115665,1.50316,,,,,,,,,,,,,,,,
736,edit-gomwiki,0,11657,163422,,,37558,,16353929,11202872289,6524710094283,,10623574,150514924,20151,,,28.0384,0.0011756,4.35119,11493,,,9,3.43587,4.77909,4,3.85258,0.795508,0.185217,,,0.819154,2.02611,2.231,2.231,0.057,-0.348487,0.0,,,1857.9,,,,,,,,0.736734,8580,,,,,,0.0585901,1.05316,,,,,0.0909486,37.0908,7251,4406,1616,20151,0.226897,2.761,0.37,0.0,1.901,22.5379
737,edit-azbwiki,0,44365,160629,,,78268,,363622966,2048303918082,10185714734230260,,43799679,1805096496,27451,,,7.24125,0.00335638,2.05229,44019,,,11,3.19838,3.88808,4,3.32172,0.802109,0.172889,,,0.686831,3.68252,2.301,2.301,0.0,-0.418852,0.0,,,823.914,,,,,,,,0.9777,43142,,,,,,0.0836347,1.614,,,,,0.0519147,301.934,43833,532,573,27451,0.259959,4.551,0.001,0.0,1.601,3.66457
738,dbpedia-starring,0,157184,281396,,,,,3240178,59090368,1957317775,,221363,15295024,321,,,3.58047,4.56035e-05,,134015,,,38,8.66953,12.5444,9,9.43282,0.437649,0.343072,,,0.955531,2.19929,2.931,2.931,0.0,-0.0766446,0.0,,,24.7409,,,,,,,,0.356616,56054,,,,,,0.00262842,1.24423,,,,,0.370304,3.69776,81085,76099,321,65,0.258223,3.951,0.573,0.794,5.521,3.47038
739,edit-frpwiki,0,7702,169876,,,63637,,38915915,21951309684,10891820482747,,242521434,2095974486,17069,,,44.1122,0.00886378,2.66945,6941,,,11,3.11352,4.27239,4,3.40557,0.835371,0.176867,,,0.774887,1.80876,1.581,1.581,0.0,-0.155288,0.0,,,847.211,,,,,,,,0.735914,5551,,,,,,0.0349995,2.61764,,,,,0.058213,156.568,6617,1085,334,17069,0.211913,7.271,0.0,0.013,1.641,25.6727
740,edit-angwiki,0,16202,168436,,,75013,,56387716,47382466315,35434055394561,,135379384,1308789770,11785,,,20.792,0.00242863,2.24542,14788,,,15,3.27157,3.99171,4,3.5701,0.857025,0.148626,,,0.763423,2.13503,1.741,1.741,0.0,-0.274807,0.0,,,637.38,,,,,,,,0.760473,12163,,,,,,0.0476291,1.25841,,,,,0.0522513,76.319,13995,2207,729,11785,0.183714,1.741,0.0,0.0,1.791,12.0354
741,edit-plwikibooks,0,22011,163911,,,47186,,23243725,15774898718,9551571433517,,5966157,140839928,37337,,,14.8936,0.000931547,3.47372,20687,,,12,3.53487,4.72525,4,4.02668,0.844462,0.15258,,,0.798584,2.54087,2.321,2.321,0.0,-0.138598,4.89128e-201,,,4080.59,,,,,,,,0.799944,16998,,,,,,0.0659024,4.60593,,,,,0.0766086,62.7771,19400,2611,2841,37337,0.213134,3.571,0.704,0.528,1.761,8.44902
742,dbpedia-location,0,225498,293697,,,,,122892989,324552882549,929789499617832,,3761594,522254610,12189,,,2.60487,3.19553e-05,,181937,,,27,5.9482,8.77009,6,6.75443,0.540934,0.305049,,,0.888942,3.17622,2.011,2.011,0.0,0.0825833,0.0,,,111.155,,,,,,,,0.551325,124316,,,,,,0.000760771,1.91768,,,,,0.404226,1.70664,53407,172091,12189,28,0.187612,2.021,0.0,0.0,6.221,5.49922
743,edit-kmwiki,0,28481,164036,,,64156,,70457647,150996938773,304199864512524,,21938108,457472896,25799,,,11.519,0.000657225,2.55683,25853,,,14,3.46365,4.7774,4,3.87536,0.822831,0.159032,,,0.778559,2.67305,2.141,2.141,0.0,-0.282379,0.0,,,1654.58,,,,,,,,0.760455,20911,,,,,,0.0427413,4.02129,,,,,0.0948267,41.1634,24496,3985,856,25799,0.215727,2.281,0.0,0.0,1.841,6.69644
744,edit-astwiktionary,0,22048,175134,,,94677,,450997531,1965779877144,7149644594658656,,512109885,5901202782,33733,,,15.8866,0.0119306,1.84981,21794,,,10,1.59074,3.31856,2,2.30714,0.734173,0.223372,,,0.691569,1.82797,3.831,3.831,0.0,-0.443433,0.0,,,528.484,,,,,,,,0.967935,21312,,,,,,0.047533,1.62651,,,,,0.035213,478.508,21682,366,243,33733,0.324534,8.991,0.0,0.003,1.581,8.07739
745,edit-fjwiktionary,0,32313,170714,,,101756,,699012088,4001200345792,18879472672848248,,402542813,6016594676,46242,,,10.5663,0.0130042,1.67768,31975,,,13,1.60602,3.44243,2,2.36434,0.682263,0.249824,,,0.669874,1.97271,5.461,5.461,0.0,-0.327427,0.0,,,494.483,,,,,,,,0.985434,31797,,,,,,0.0193262,1.79825,,,,,0.0306243,699.648,32069,244,116,46242,0.363339,8.991,0.0,0.985,1.611,5.32333
746,edit-ladwiki,0,15044,174807,,,72407,,60172819,57642275619,51431766552268,,130208998,1282535050,26383,,,23.2394,0.00377611,2.41423,14351,,,11,3.22895,3.94107,4,3.44129,0.854955,0.148821,,,0.757818,2.11285,1.731,1.731,0.0,-0.371109,0.0,,,1115.04,,,,,,,,0.824434,12275,,,,,,0.0180638,1.85888,,,,,0.055793,124.329,13638,1406,565,26383,0.203928,1.741,0.0,0.0,1.661,12.8176
747,edit-cowiki,0,13948,177084,,,85745,,77227773,74671414047,66498136662479,,278424419,2536516054,14140,,,25.392,0.00445693,2.06524,11947,,,13,3.15257,4.4129,4,3.44485,0.84632,0.159419,,,0.765972,1.85765,1.611,1.611,0.0,-0.223269,0.0,,,672.627,,,,,,,,0.775538,9809,,,,,,0.0197059,2.36471,,,,,0.0514389,114.101,12396,1552,279,14140,0.205479,8.911,0.0,0.072,1.691,14.2856
748,cit-HepTh,1,27770,352807,,,,39,37101609,8172939577,3139197249029,1478735,63698507,658699062,2468,562,2414,25.4092,0.000457494,,27400,7464,0.268779,15,3.6897,5.35575,4,4.26957,0.570239,0.285445,0.30625,0.238017,0.937827,1.38989,3.111,3.111,0.002,-0.0303125,7.117759999999999e-143,0.119569,0.199169,111.322,85.1607,10.8011,0.00284858,0.39184,0.0362742,0.0650723,0.000633054,0.241916,6718,0.277949,4.131,0.033,2.691,0.14,0.0649978,1.22353,,,,,,,,,,,,,,,,
749,edit-tewikisource,0,54263,168296,,,105834,,458170784,2116343002054,8356449439287824,,126201939,2842526044,29288,,,6.20297,0.0030416,1.59019,53459,,,14,3.4616,5.39026,4,3.91883,0.708637,0.237255,,,0.704148,2.79032,4.651,4.651,0.0,0.0990891,4.30929e-229,,,746.591,,,,,,,,0.977546,52590,,,,,,0.0205781,1.30643,,,,,0.0724735,259.316,53614,649,925,29288,0.349866,7.431,0.01,0.0,1.451,3.13903
750,wikipedia_link_bh,1,15581,382620,,,,12,85192240,19393178499,5123116867029,6584619,5604417634,45176713016,2528,428,2260,49.1137,0.00157608,,15568,6566,0.421411,9,3.67321,5.03401,4,4.16752,0.803184,0.166503,0.14701,0.193186,0.859959,1.53272,1.541,1.541,0.0,0.108844,0.0,0.231874,0.864544,424.985,382.84,131.031,0.424034,0.193599,0.0184297,0.0566095,0.000365385,0.45517,7092,0.650962,1.531,0.0,2.121,0.0,0.0383947,1.24008,,,,,,,,,,,,,,,,
751,eat,1,23132,511764,,,312310,710,30388904,2967734991,376129003421,409174,16682968,255613548,1076,78,1044,44.2473,0.000583659,1.63864,23132,7751,0.335077,6,2.93581,3.85238,3,3.43144,0.696577,0.231681,0.437125,0.198509,0.911566,1.46967,3.211,3.211,0.001,-0.0476739,5.65003e-296,0.0403938,0.0513845,189.271,131.648,57.3077,0.0956742,0.542479,0.482007,0.814787,0.0079153,0.64508,14922,0.53229,6.591,0.0,1.731,0.0,0.961452,1.52669,,,,,,,,,,,,,,,,
752,topology,0,34761,171403,,,114496,0,34304301,20603857222,10997020148941,554749,79912964,776736356,5305,,,9.8618,0.000189517,1.49702,34761,,,10,3.30483,4.37241,4,3.78362,0.808028,0.164131,,,0.807662,2.23338,1.921,1.921,0.0,-0.214867,0.0,0.0485142,,425.817,,,,0.586838,0.0167249,0.0327725,0.00132195,0.703058,24439,,,,,,0.0440876,2.34189,,,,,,,,,,,,,,,,
753,wikipedia_link_li,1,49129,375392,,,,17,43772272,16809280196,9283020920077,2257357,143100665,1320482908,3496,615,3447,15.2819,0.000155528,,49126,18283,0.372143,8,3.84938,4.92189,4,4.33477,0.827084,0.143594,0.154018,0.209402,0.849148,2.04065,1.971,1.801,0.0,-0.0624942,0.0,0.154711,0.413862,193.587,103.748,93.2475,0.43226,0.669298,0.00334138,0.00666056,0.000138993,0.689796,33889,0.816779,1.761,0.0,3.361,0.0,0.00672867,1.10194,,,,,,,,,,,,,,,,
754,edit-lawiktionary,0,30656,177936,,,100159,,373348567,1345464005266,4145892594711256,,321142448,4062772186,20101,,,11.6086,0.00400372,1.77654,30245,,,12,2.39069,3.84823,3,3.04198,0.796532,0.180576,,,0.699901,2.16575,1.501,1.501,0.329,-0.34961,0.0,,,571.915,,,,,,,,0.953267,29149,,,,,,0.0278093,1.52093,,,,,0.0413126,212.081,29817,839,500,20101,0.261375,8.581,0.268,0.669,1.541,5.9676
755,edit-wawiktionary,0,46386,182251,,,100917,,771842591,5979787692180,37679772457299112,,159503737,4363602390,82442,,,7.85802,0.00706526,1.80595,46058,,,15,1.93225,3.82225,2,2.96466,0.752993,0.209623,,,0.669572,2.74594,3.861,3.861,0.0,-0.440211,0.0,,,1234.89,,,,,,,,0.987382,45699,,,,,,0.00881163,2.28681,,,,,0.0478461,587.906,46076,310,836,82442,0.307093,4.161,0.046,0.0,1.421,3.95544
756,edit-bugwiki,0,19261,184412,,,125106,,395448362,1211587949425,3240312031028652,,711164526,7271382544,43459,,,19.1487,0.00905765,1.47405,18524,,,15,1.73011,3.74645,2,2.67958,0.684155,0.262014,,,0.733442,1.62027,1.511,1.511,0.095,-0.132132,0.0,,,529.071,,,,,,,,0.927586,17754,,,,,,0.00420922,2.08988,,,,,0.0462931,247.201,18515,746,304,43459,0.367059,6.391,0.01,0.941,1.401,9.96014
757,edit-tkwiki,0,13512,186243,,,95494,,114039558,136728886645,138762561059867,,397783717,3638705840,18207,,,27.5671,0.00554425,1.95031,12213,,,14,3.16569,5.35181,4,3.60312,0.795729,0.204612,,,0.766136,1.72963,3.301,3.301,0.0,-0.108095,4.61362e-246,,,623.067,,,,,,,,0.79781,10346,,,,,,0.0327839,2.58942,,,,,0.0541819,130.697,12087,1425,259,18207,0.27092,5.771,0.0,0.003,1.501,15.4085
758,edit-szlwiki,0,17240,189325,,,85957,,101234583,130822187617,156203255811145,,218510518,2153272266,13097,,,21.9635,0.00356772,2.20255,16717,,,11,3.1357,3.89823,4,3.29671,0.85368,0.151169,,,0.750485,2.01905,1.691,1.691,0.0,-0.295206,0.0,,,665.951,,,,,,,,0.83851,14388,,,,,,0.024015,1.67555,,,,,0.0538122,123.419,15706,1534,384,13097,0.202467,8.911,0.0,0.21,1.691,12.0543
759,bag-kos,0,10336,467714,,,353160,,68241250,11455280341,2925573347776,,467702668,4015445872,2123,,,90.5019,0.0149091,1.32437,10336,,,5,2.59643,3.6917,3,3.07807,0.606086,0.269422,,,0.940178,1.27422,2.341,,,-0.0549506,2.9845799999999995e-234,,,358.079,,,,,,,,0.3363,3476,,,,,,5.81182,1.54757,,,,,0.36412,136.36,6906,3430,2123,457,0.24689,,,,,67.7257
760,edit-map_bmswiki,0,28464,185840,,,108243,,241004281,586873856700,1220593516089462,,261067627,3052868314,15989,,,13.0579,0.00365673,1.71688,27425,,,12,3.22725,3.93872,4,3.38619,0.820872,0.153199,,,0.728366,2.04084,1.541,1.541,0.001,-0.531778,0.0,,,633.144,,,,,,,,0.926915,26025,,,,,,0.0242402,2.79992,,,,,0.0510923,171.915,27383,1081,247,15989,0.243909,8.911,0.0,0.223,1.661,6.78669
761,wikipedia_link_xmf,1,15600,405676,,,,29,115457818,75664303619,45957394482805,7435099,2076621957,17075429354,4542,370,4539,52.0097,0.00166698,,15587,10784,0.691282,10,2.63719,3.72949,3,3.1771,0.712438,0.230876,0.261546,0.190652,0.885575,1.39069,2.321,2.321,0.0,-0.181382,0.0,0.19319,0.802356,553.049,291.023,262.021,0.465635,0.590141,0.0535118,0.089207,0.000558449,0.346154,5400,0.691781,2.501,0.0,2.181,0.0,0.147098,2.2207,,,,,,,,,,,,,,,,
762,edit-mtwiki,0,16594,190769,,,66256,,67967670,91250780048,126057812173885,,104630141,1109063848,22886,,,22.9925,0.00255572,2.87927,15753,,,11,3.25797,4.02073,4,3.52654,0.855305,0.150905,,,0.751747,2.17722,1.761,1.761,0.0,-0.3135,0.0,,,1181.14,,,,,,,,0.814357,13318,,,,,,0.0472994,1.03011,,,,,0.0491484,109.261,14848,1746,1031,22886,0.194691,6.471,0.0,0.734,1.771,12.8481
763,douban,0,154908,327162,,,,0,11745116,269719710,6564312495,40612,750163,53636092,287,,,4.22395,2.7267700000000003e-05,,154908,,,9,4.60248,5.69594,5,5.10046,0.694496,0.214079,,,0.889699,2.97061,2.081,2.081,0.0,-0.180331,0.0,0.0103733,,41.9682,,,,0.395394,0.00961819,0.0187917,0.00111221,0.887882,137540,,,,,,0.0187672,1.37338,,,,,,,,,,,,,,,,
764,edit-ruwikivoyage,0,16613,194277,,,46984,,51084433,68537993047,82515480116683,,35113998,485368568,25930,,,23.3886,0.00150382,4.13496,16332,,,10,3.20436,4.49903,4,3.54044,0.86331,0.141514,,,0.745936,2.50336,1.901,1.901,0.0,-0.275079,0.0,,,2549.89,,,,,,,,0.809785,13440,,,,,,0.036361,2.33945,,,,,0.0690149,89.8599,14451,2162,5743,25930,0.18922,4.441,0.0,0.884,1.861,13.4438
765,edit-frwikiquote,0,27896,184257,,,77629,,89957474,152822898532,240086221199481,,38993270,672016582,18359,,,13.2103,0.000744581,2.37356,27232,,,11,3.38035,4.50308,4,3.72621,0.830172,0.164688,,,0.771129,2.35121,2.351,2.351,0.0,-0.24516,0.0,,,6964.96,,,,,,,,0.795796,22073,,,,,,0.0905461,5.89629,,,,,0.0865584,41.4433,23450,4446,5774,18359,0.212193,3.581,0.821,0.802,1.841,7.85744
766,wiki_talk_el,1,40254,190279,,,77390,26135,181858756,581119219524,1536422106910311,53432,66577096,1260190222,23615,23614,6251,9.45392,4.776030000000001e-05,2.4587,39667,2421,0.0601431,8,2.72931,3.72631,3,3.23207,0.841997,0.153645,0.0750056,0.239065,0.718771,3.41932,3.341,3.341,0.0,-0.385175,0.0,0.000881431,0.021507,3905.03,2030.64,1889.59,0.173601,0.314832,0.0215157,0.0491566,0.00340657,0.919561,37016,0.673621,1.661,0.0,3.491,0.432,0.0949109,1.28382,,,,,,,,,,,,,,,,
767,wikipedia_link_hak,1,11487,427057,,,,3,42775768,16799003841,1978291241430,11512146,1669651210,13528833540,1443,270,1442,74.3548,0.00323648,,11442,7518,0.654479,12,3.489,4.83863,4,4.00145,0.750244,0.194821,0.193485,0.211829,0.883718,1.41971,1.421,1.421,0.0,0.164534,0.0,0.807383,0.971885,530.506,265.506,265.0,0.780512,0.841957,0.0671548,0.111639,0.000613252,0.322626,3706,0.781545,1.401,0.0,1.361,0.0,0.0646172,1.32868,,,,,,,,,,,,,,,,
768,edit-nrmwiki,0,8944,201831,,,83068,,79205742,67563235681,48105958410143,,464288828,4031465296,24151,,,45.1322,0.0115771,2.42971,8379,,,12,3.14693,4.98111,4,3.4579,0.819137,0.192352,,,0.766947,1.71779,3.071,3.071,0.0,-0.107643,1.54326e-212,,,855.769,,,,,,,,0.811119,7193,,,,,,0.0394748,2.45102,,,,,0.0586679,226.522,8053,891,299,24151,0.243382,8.911,0.0,0.013,1.421,25.0628
769,wang-tripadvisor,0,147075,175765,,,175655,,23704235,5893488792,2022222569935,,11327,95259242,2138,,,2.39014,0.000687197,1.00063,146988,,,14,5.47803,7.15399,6,5.94955,0.572841,0.291614,,,0.848532,6.92522,2.981,2.981,0.0,-0.0993657,0.0,,,28.7365,,,,,,,,0.97608,143557,,,,,,0.000126145,1.02081,,0.000480856,0.00459492,0.409877,0.450867,1.20954,1759,145316,2138,22,0.31748,2.231,0.0,0.0,3.311,99.9233
770,edit-vowiktionary,0,25457,195457,,,105029,,791971282,5145349553544,26184767519747060,,913424636,10475506342,74293,,,15.3559,0.0163431,1.86098,25177,,,15,1.56187,3.11454,2,2.31885,0.657293,0.25786,,,0.67962,1.76325,3.551,3.551,0.0,-0.425511,0.0,,,649.206,,,,,,,,0.980323,24910,,,,,,0.0197101,1.98976,,,,,0.039093,766.498,25202,255,137,74293,0.392813,8.991,0.011,0.114,1.371,7.75561
771,edit-plwikinews,0,43407,192332,,,109218,,417806646,2745638288273,16224827432729264,,86897339,2366646836,36840,,,8.8618,0.00166074,1.76099,42931,,,10,3.26388,3.92418,4,3.43064,0.772371,0.20384,,,0.733291,2.39054,3.621,3.621,0.0,-0.153878,0.0,,,2225.95,,,,,,,,0.931577,40355,,,,,,0.0408587,2.47396,,,,,0.0676486,122.349,41835,1572,2510,36840,0.295006,4.821,0.731,0.0,1.591,4.59739
772,wikipedia_link_ht,1,57219,384030,,,,2,1713317394,11735974919361,73201754085871680,888312,3030419841,31097349214,32719,263,32718,13.4232,0.000117296,,57014,8330,0.145581,12,2.425,4.34526,3,3.13338,0.676284,0.257093,0.364818,0.092274,0.778753,1.61016,2.041,,,-0.30048,0.0,0.00155542,0.283228,326.693,325.124,55.729,0.122772,0.0074891,0.0108832,0.0709114,0.00140249,0.805187,46072,0.341278,,,,,0.0743026,1.00755,,,,,,,,,,,,,,,,
773,edit-eswikiquote,0,35344,202296,,,97530,,108559786,208756205386,402830227113734,,49630326,831546260,18052,,,11.4473,0.00049114,2.07419,33833,,,11,3.4303,4.83501,4,3.88689,0.831349,0.15964,,,0.774859,2.54842,1.921,1.921,0.0,-0.196106,0.0,,,1857.33,,,,,,,,0.73177,25500,,,,,,0.0734405,1.6478,,,,,0.094253,28.8664,28336,7008,3696,18052,0.208734,4.381,0.99,0.126,1.741,7.13919
774,edit-hifwiki,0,31566,208674,,,114017,,147300679,257974980342,430582252687979,,206593730,2242223098,15472,,,13.2214,0.0010666,1.8302,30758,,,11,3.62152,5.43645,4,4.08458,0.851458,0.139311,,,0.753905,2.37369,1.851,1.851,0.0,-0.468393,0.0,,,577.311,,,,,,,,0.87198,27361,,,,,,0.00510762,1.96328,,,,,0.0625377,54.0886,27708,3858,274,15472,0.188414,1.851,0.0,0.0,1.821,7.53118
775,wikipedia_link_nso,1,8152,455809,,,,1,102765470,77307410887,37232457971664,14051759,3271249354,26581646682,4340,2024,2700,111.828,0.0068589,,8150,6875,0.843351,11,2.79262,3.94508,3,3.26599,0.63856,0.247004,0.27924,0.207692,0.908676,1.27789,2.001,2.001,0.0,-0.213258,0.0,0.410209,0.895346,726.252,367.571,358.516,0.705662,0.798693,0.0734948,0.13768,0.000475488,0.0839058,684,0.649839,2.091,0.0,1.851,0.0,0.0578259,1.81001,,,,,,,,,,,,,,,,
776,edit-ruwikiquote,0,37740,204682,,,102731,,125401935,307366586878,787494997710083,,43862281,852826158,18852,,,10.847,0.000576057,1.99241,36744,,,12,3.41268,4.51466,4,3.79825,0.813457,0.171867,,,0.775179,2.46759,2.491,2.491,0.0,-0.156588,0.0,,,554.777,,,,,,,,0.779546,29148,,,,,,0.043789,1.00486,,,,,0.0868567,36.9596,32202,5538,1671,18852,0.231359,4.021,0.0,0.088,1.871,6.35619
777,cit-HepPh,1,34546,421578,,,,44,26298866,1344423338,104402971182,1276868,39015537,418161514,846,411,846,24.4068,0.00035325,,34401,12711,0.367944,14,3.81719,5.22989,4,4.39535,0.525062,0.306494,0.311838,0.25151,0.952172,1.37828,3.041,3.041,0.0,-0.00628637,8.040380000000002e-09,0.145657,0.19672,76.6411,57.0772,5.66291,0.00322123,0.502827,0.0573974,0.102305,0.00104537,0.253141,8745,0.138861,3.741,0.0,3.071,0.176,0.0463933,1.04945,,,,,,,,,,,,,,,,
778,edit-ukwiktionary,0,45588,216084,,,122074,,505243920,2461370019695,11025600071842706,,226429815,3832842196,34433,,,9.47986,0.00301226,1.77011,44609,,,11,3.28533,3.88841,4,3.43482,0.798532,0.177503,,,0.702027,2.4666,2.221,2.221,0.0,-0.364172,0.0,,,562.721,,,,,,,,0.961485,43288,,,,,,0.0253905,1.0907,,,,,0.0393689,238.24,44681,907,522,34433,0.259334,8.981,0.0,0.772,1.651,4.83615
